Year,Month,AvgTempDegF
1895,1,19.40
1895,2,17.60
1895,3,36.90
1895,4,53.10
1895,5,62.60
1895,6,73.40
1895,7,71.50
1895,8,73.40
1895,9,68.60
1895,10,46.10
1895,11,39.20
1895,12,31.50
1896,1,27.60
1896,2,30.50
1896,3,33.80
1896,4,57.60
1896,5,68.90
1896,6,70.20
1896,7,74.50
1896,8,72.80
1896,9,62.70
1896,10,49.80
1896,11,41.90
1896,12,33.50
1897,1,23.30
1897,2,30.70
1897,3,40.70
1897,4,49.20
1897,5,57.10
1897,6,69.40
1897,7,76.10
1897,8,71.00
1897,9,69.50
1897,10,59.00
1897,11,40.50
1897,12,28.80
1898,1,31.10
1898,2,30.70
1898,3,44.20
1898,4,49.00
1898,5,62.10
1898,6,72.70
1898,7,74.90
1898,8,72.70
1898,9,68.40
1898,10,51.60
1898,11,36.40
1898,12,26.30
1899,1,25.40
1899,2,19.20
1899,3,33.00
1899,4,52.70
1899,5,63.10
1899,6,73.30
1899,7,75.10
1899,8,75.70
1899,9,65.40
1899,10,57.90
1899,11,43.70
1899,12,28.30
1900,1,30.20
1900,2,24.60
1900,3,34.00
1900,4,52.00
1900,5,64.60
1900,6,70.40
1900,7,75.00
1900,8,78.10
1900,9,69.30
1900,10,60.90
1900,11,40.80
1900,12,30.70
1901,1,28.20
1901,2,21.50
1901,3,38.90
1901,4,47.80
1901,5,59.60
1901,6,72.70
1901,7,80.40
1901,8,74.40
1901,9,66.20
1901,10,54.90
1901,11,36.80
1901,12,24.90
1902,1,26.40
1902,2,19.70
1902,3,42.00
1902,4,49.40
1902,5,66.10
1902,6,69.20
1902,7,75.40
1902,8,70.30
1902,9,62.80
1902,10,56.10
1902,11,47.80
1902,12,27.90
1903,1,25.50
1903,2,28.20
1903,3,45.60
1903,4,51.00
1903,5,64.90
1903,6,65.40
1903,7,75.40
1903,8,71.50
1903,9,65.60
1903,10,53.60
1903,11,36.40
1903,12,22.20
1904,1,19.10
1904,2,22.10
1904,3,39.00
1904,4,45.60
1904,5,61.10
1904,6,68.90
1904,7,72.40
1904,8,70.40
1904,9,66.10
1904,10,52.40
1904,11,40.10
1904,12,27.90
1905,1,20.40
1905,2,18.40
1905,3,44.50
1905,4,50.50
1905,5,62.50
1905,6,71.00
1905,7,73.00
1905,8,73.20
1905,9,66.20
1905,10,52.10
1905,11,40.20
1905,12,30.60
1906,1,33.20
1906,2,26.90
1906,3,29.30
1906,4,53.00
1906,5,62.90
1906,6,69.70
1906,7,72.70
1906,8,75.10
1906,9,69.80
1906,10,51.90
1906,11,39.40
1906,12,31.60
1907,1,31.40
1907,2,27.70
1907,3,45.80
1907,4,41.10
1907,5,55.20
1907,6,66.30
1907,7,73.40
1907,8,70.00
1907,9,63.60
1907,10,49.80
1907,11,37.00
1907,12,31.40
1908,1,28.50
1908,2,26.80
1908,3,42.90
1908,4,50.60
1908,5,62.20
1908,6,69.10
1908,7,74.00
1908,8,72.80
1908,9,69.00
1908,10,53.40
1908,11,41.60
1908,12,31.50
1909,1,29.00
1909,2,32.60
1909,3,37.10
1909,4,48.60
1909,5,58.10
1909,6,70.60
1909,7,70.90
1909,8,73.80
1909,9,62.40
1909,10,48.10
1909,11,49.10
1909,12,20.60
1910,1,25.90
1910,2,24.60
1910,3,48.80
1910,4,50.80
1910,5,55.80
1910,6,68.00
1910,7,73.90
1910,8,70.60
1910,9,65.40
1910,10,55.50
1910,11,34.90
1910,12,24.50
1911,1,29.60
1911,2,33.30
1911,3,38.40
1911,4,48.20
1911,5,67.10
1911,6,73.40
1911,7,74.80
1911,8,72.50
1911,9,68.40
1911,10,52.50
1911,11,34.70
1911,12,34.00
1912,1,14.90
1912,2,20.80
1912,3,30.20
1912,4,52.70
1912,5,63.50
1912,6,67.40
1912,7,74.00
1912,8,70.60
1912,9,67.20
1912,10,53.80
1912,11,40.10
1912,12,32.10
1913,1,31.10
1913,2,25.00
1913,3,37.00
1913,4,50.40
1913,5,62.80
1913,6,73.10
1913,7,77.40
1913,8,76.10
1913,9,65.40
1913,10,52.70
1913,11,45.40
1913,12,35.40
1914,1,33.20
1914,2,20.30
1914,3,36.00
1914,4,51.20
1914,5,64.40
1914,6,75.10
1914,7,77.60
1914,8,74.30
1914,9,65.10
1914,10,56.40
1914,11,42.20
1914,12,23.30
1915,1,22.40
1915,2,35.60
1915,3,34.10
1915,4,56.30
1915,5,58.80
1915,6,68.00
1915,7,72.00
1915,8,66.40
1915,9,67.10
1915,10,54.70
1915,11,43.50
1915,12,28.60
1916,1,31.20
1916,2,25.80
1916,3,36.40
1916,4,48.90
1916,5,63.00
1916,6,66.30
1916,7,79.80
1916,8,75.50
1916,9,64.40
1916,10,53.30
1916,11,42.80
1916,12,27.00
1917,1,28.00
1917,2,24.60
1917,3,40.60
1917,4,48.90
1917,5,55.80
1917,6,67.80
1917,7,73.40
1917,8,71.10
1917,9,64.00
1917,10,45.10
1917,11,41.00
1917,12,20.80
1918,1,11.30
1918,2,29.40
1918,3,45.50
1918,4,47.50
1918,5,66.80
1918,6,70.70
1918,7,72.20
1918,8,77.50
1918,9,57.90
1918,10,56.10
1918,11,40.90
1918,12,38.10
1919,1,31.40
1919,2,31.60
1919,3,41.70
1919,4,51.40
1919,5,58.70
1919,6,74.50
1919,7,78.00
1919,8,72.10
1919,9,68.80
1919,10,58.70
1919,11,39.60
1919,12,23.50
1920,1,20.00
1920,2,28.30
